path,class,class_id,fold,snr_db,original_file
data\processed\clean\fold1\background\103074-7-0-1.wav,background,0,1,clean,103074-7-0-1.wav
data\processed\clean\fold1\background\103258-5-0-10.wav,background,0,1,clean,103258-5-0-10.wav
data\processed\clean\fold1\background\103258-5-0-16.wav,background,0,1,clean,103258-5-0-16.wav
data\processed\clean\fold1\background\105415-2-0-21.wav,background,0,1,clean,105415-2-0-21.wav
data\processed\clean\fold1\background\108041-9-0-9.wav,background,0,1,clean,108041-9-0-9.wav
data\processed\clean\fold1\background\108362-2-0-11.wav,background,0,1,clean,108362-2-0-11.wav
data\processed\clean\fold1\background\108362-2-0-7.wav,background,0,1,clean,108362-2-0-7.wav
data\processed\clean\fold1\background\113205-5-1-1.wav,background,0,1,clean,113205-5-1-1.wav
data\processed\clean\fold1\background\113205-5-1-2.wav,background,0,1,clean,113205-5-1-2.wav
data\processed\clean\fold1\background\113205-5-1-3.wav,background,0,1,clean,113205-5-1-3.wav
data\processed\clean\fold1\background\113205-5-1-6.wav,background,0,1,clean,113205-5-1-6.wav
data\processed\clean\fold1\background\119455-5-0-3.wav,background,0,1,clean,119455-5-0-3.wav
data\processed\clean\fold1\background\125791-3-0-12.wav,background,0,1,clean,125791-3-0-12.wav
data\processed\clean\fold1\background\132016-9-0-6.wav,background,0,1,clean,132016-9-0-6.wav
data\processed\clean\fold1\background\134717-0-0-22.wav,background,0,1,clean,134717-0-0-22.wav
data\processed\clean\fold1\background\137156-9-0-30.wav,background,0,1,clean,137156-9-0-30.wav
data\processed\clean\fold1\background\147764-4-2-0.wav,background,0,1,clean,147764-4-2-0.wav
data\processed\clean\fold1\background\147764-4-6-0.wav,background,0,1,clean,147764-4-6-0.wav
data\processed\clean\fold1\background\147764-4-7-0.wav,background,0,1,clean,147764-4-7-0.wav
data\processed\clean\fold1\background\150341-3-0-0.wav,background,0,1,clean,150341-3-0-0.wav
data\processed\clean\fold1\background\151977-0-0-11.wav,background,0,1,clean,151977-0-0-11.wav
data\processed\clean\fold1\background\151977-0-0-13.wav,background,0,1,clean,151977-0-0-13.wav
data\processed\clean\fold1\background\151977-0-0-8.wav,background,0,1,clean,151977-0-0-8.wav
data\processed\clean\fold1\background\160009-2-0-1.wav,background,0,1,clean,160009-2-0-1.wav
data\processed\clean\fold1\background\160094-3-0-0.wav,background,0,1,clean,160094-3-0-0.wav
data\processed\clean\fold1\background\161702-9-0-26.wav,background,0,1,clean,161702-9-0-26.wav
data\processed\clean\fold1\background\161702-9-0-37.wav,background,0,1,clean,161702-9-0-37.wav
data\processed\clean\fold1\background\164312-3-0-0.wav,background,0,1,clean,164312-3-0-0.wav
data\processed\clean\fold1\background\165067-2-0-112.wav,background,0,1,clean,165067-2-0-112.wav
data\processed\clean\fold1\background\165067-2-0-35.wav,background,0,1,clean,165067-2-0-35.wav
data\processed\clean\fold1\background\165645-4-0-0.wav,background,0,1,clean,165645-4-0-0.wav
data\processed\clean\fold1\background\174276-7-0-0.wav,background,0,1,clean,174276-7-0-0.wav
data\processed\clean\fold1\background\174290-6-2-0.wav,background,0,1,clean,174290-6-2-0.wav
data\processed\clean\fold1\background\17592-5-1-3.wav,background,0,1,clean,17592-5-1-3.wav
data\processed\clean\fold1\background\176714-2-0-23.wav,background,0,1,clean,176714-2-0-23.wav
data\processed\clean\fold1\background\176787-5-0-14.wav,background,0,1,clean,176787-5-0-14.wav
data\processed\clean\fold1\background\176787-5-0-19.wav,background,0,1,clean,176787-5-0-19.wav
data\processed\clean\fold1\background\176787-5-0-22.wav,background,0,1,clean,176787-5-0-22.wav
data\processed\clean\fold1\background\176787-5-0-3.wav,background,0,1,clean,176787-5-0-3.wav
data\processed\clean\fold1\background\176787-5-0-8.wav,background,0,1,clean,176787-5-0-8.wav
data\processed\clean\fold1\background\177621-0-0-127.wav,background,0,1,clean,177621-0-0-127.wav
data\processed\clean\fold1\background\177621-0-0-27.wav,background,0,1,clean,177621-0-0-27.wav
data\processed\clean\fold1\background\177621-0-0-48.wav,background,0,1,clean,177621-0-0-48.wav
data\processed\clean\fold1\background\177621-0-0-93.wav,background,0,1,clean,177621-0-0-93.wav
data\processed\clean\fold1\background\17913-4-0-0.wav,background,0,1,clean,17913-4-0-0.wav
data\processed\clean\fold1\background\17913-4-0-2.wav,background,0,1,clean,17913-4-0-2.wav
data\processed\clean\fold1\background\180937-7-1-5.wav,background,0,1,clean,180937-7-1-5.wav
data\processed\clean\fold1\background\180937-7-2-3.wav,background,0,1,clean,180937-7-2-3.wav
data\processed\clean\fold1\background\180937-7-3-20.wav,background,0,1,clean,180937-7-3-20.wav
data\processed\clean\fold1\background\180937-7-3-21.wav,background,0,1,clean,180937-7-3-21.wav
data\processed\clean\fold1\background\180937-7-3-26.wav,background,0,1,clean,180937-7-3-26.wav
data\processed\clean\fold1\background\180937-7-3-27.wav,background,0,1,clean,180937-7-3-27.wav
data\processed\clean\fold1\background\180937-7-3-30.wav,background,0,1,clean,180937-7-3-30.wav
data\processed\clean\fold1\background\180937-7-3-7.wav,background,0,1,clean,180937-7-3-7.wav
data\processed\clean\fold1\background\180937-7-4-6.wav,background,0,1,clean,180937-7-4-6.wav
data\processed\clean\fold1\background\191431-9-0-61.wav,background,0,1,clean,191431-9-0-61.wav
data\processed\clean\fold1\background\191431-9-0-66.wav,background,0,1,clean,191431-9-0-66.wav
data\processed\clean\fold1\background\192124-2-0-12.wav,background,0,1,clean,192124-2-0-12.wav
data\processed\clean\fold1\background\193698-2-0-140.wav,background,0,1,clean,193698-2-0-140.wav
data\processed\clean\fold1\background\196079-2-0-0.wav,background,0,1,clean,196079-2-0-0.wav
data\processed\clean\fold1\background\196087-2-0-0.wav,background,0,1,clean,196087-2-0-0.wav
data\processed\clean\fold1\background\196400-6-0-0.wav,background,0,1,clean,196400-6-0-0.wav
data\processed\clean\fold1\background\197318-6-1-0.wav,background,0,1,clean,197318-6-1-0.wav
data\processed\clean\fold1\background\21684-9-0-30.wav,background,0,1,clean,21684-9-0-30.wav
data\processed\clean\fold1\background\26270-9-0-3.wav,background,0,1,clean,26270-9-0-3.wav
data\processed\clean\fold1\background\46669-4-0-36.wav,background,0,1,clean,46669-4-0-36.wav
data\processed\clean\fold1\background\46669-4-0-54.wav,background,0,1,clean,46669-4-0-54.wav
data\processed\clean\fold1\background\57320-0-0-32.wav,background,0,1,clean,57320-0-0-32.wav
data\processed\clean\fold1\background\59277-0-0-3.wav,background,0,1,clean,59277-0-0-3.wav
data\processed\clean\fold1\background\73277-9-0-17.wav,background,0,1,clean,73277-9-0-17.wav
data\processed\clean\fold1\background\77766-9-0-3.wav,background,0,1,clean,77766-9-0-3.wav
data\processed\clean\fold1\background\78360-4-0-23.wav,background,0,1,clean,78360-4-0-23.wav
data\processed\clean\fold1\background\78360-4-0-3.wav,background,0,1,clean,78360-4-0-3.wav
data\processed\clean\fold1\background\78360-4-0-9.wav,background,0,1,clean,78360-4-0-9.wav
data\processed\clean\fold1\background\86278-6-0-0.wav,background,0,1,clean,86278-6-0-0.wav
data\processed\clean\fold1\background\86279-3-0-0.wav,background,0,1,clean,86279-3-0-0.wav
data\processed\clean\fold1\background\97317-2-0-23.wav,background,0,1,clean,97317-2-0-23.wav
data\processed\clean\fold1\background\97317-2-0-25.wav,background,0,1,clean,97317-2-0-25.wav
data\processed\clean\fold1\background\98223-7-2-0.wav,background,0,1,clean,98223-7-2-0.wav
data\processed\clean\fold1\background\98223-7-3-0.wav,background,0,1,clean,98223-7-3-0.wav
data\processed\clean\fold1\background\99180-9-0-36.wav,background,0,1,clean,99180-9-0-36.wav
data\processed\clean\fold1\background\ch01_clip0000.wav,background,0,1,clean,ch01_clip0000.wav
data\processed\clean\fold1\background\ch01_clip0010.wav,background,0,1,clean,ch01_clip0010.wav
data\processed\clean\fold1\background\ch01_clip0020.wav,background,0,1,clean,ch01_clip0020.wav
data\processed\clean\fold1\background\ch01_clip0030.wav,background,0,1,clean,ch01_clip0030.wav
data\processed\clean\fold1\background\ch01_clip0040.wav,background,0,1,clean,ch01_clip0040.wav
data\processed\clean\fold1\background\ch01_clip0050.wav,background,0,1,clean,ch01_clip0050.wav
data\processed\clean\fold1\background\ch01_clip0060.wav,background,0,1,clean,ch01_clip0060.wav
data\processed\clean\fold1\background\ch01_clip0070.wav,background,0,1,clean,ch01_clip0070.wav
data\processed\clean\fold1\background\ch02_clip0005.wav,background,0,1,clean,ch02_clip0005.wav
data\processed\clean\fold1\background\ch02_clip0015.wav,background,0,1,clean,ch02_clip0015.wav
data\processed\clean\fold1\background\ch02_clip0025.wav,background,0,1,clean,ch02_clip0025.wav
data\processed\clean\fold1\background\ch02_clip0035.wav,background,0,1,clean,ch02_clip0035.wav
data\processed\clean\fold1\background\ch02_clip0045.wav,background,0,1,clean,ch02_clip0045.wav
data\processed\clean\fold1\background\ch02_clip0055.wav,background,0,1,clean,ch02_clip0055.wav
data\processed\clean\fold1\background\ch02_clip0065.wav,background,0,1,clean,ch02_clip0065.wav
data\processed\clean\fold1\background\ch03_clip0000.wav,background,0,1,clean,ch03_clip0000.wav
data\processed\clean\fold1\background\ch03_clip0010.wav,background,0,1,clean,ch03_clip0010.wav
data\processed\clean\fold1\background\ch03_clip0020.wav,background,0,1,clean,ch03_clip0020.wav
data\processed\clean\fold1\background\ch03_clip0030.wav,background,0,1,clean,ch03_clip0030.wav
data\processed\clean\fold1\background\ch03_clip0040.wav,background,0,1,clean,ch03_clip0040.wav
data\processed\clean\fold1\background\ch03_clip0050.wav,background,0,1,clean,ch03_clip0050.wav
data\processed\clean\fold1\background\ch03_clip0060.wav,background,0,1,clean,ch03_clip0060.wav
data\processed\clean\fold1\background\ch03_clip0070.wav,background,0,1,clean,ch03_clip0070.wav
data\processed\clean\fold1\background\ch04_clip0005.wav,background,0,1,clean,ch04_clip0005.wav
data\processed\clean\fold1\background\ch04_clip0015.wav,background,0,1,clean,ch04_clip0015.wav
data\processed\clean\fold1\background\ch04_clip0025.wav,background,0,1,clean,ch04_clip0025.wav
data\processed\clean\fold1\background\ch04_clip0035.wav,background,0,1,clean,ch04_clip0035.wav
data\processed\clean\fold1\background\ch04_clip0045.wav,background,0,1,clean,ch04_clip0045.wav
data\processed\clean\fold1\background\ch04_clip0055.wav,background,0,1,clean,ch04_clip0055.wav
data\processed\clean\fold1\background\ch04_clip0065.wav,background,0,1,clean,ch04_clip0065.wav
data\processed\clean\fold1\background\ch05_clip0000.wav,background,0,1,clean,ch05_clip0000.wav
data\processed\clean\fold1\background\ch05_clip0010.wav,background,0,1,clean,ch05_clip0010.wav
data\processed\clean\fold1\background\ch05_clip0020.wav,background,0,1,clean,ch05_clip0020.wav
data\processed\clean\fold1\background\ch05_clip0030.wav,background,0,1,clean,ch05_clip0030.wav
data\processed\clean\fold1\background\ch05_clip0040.wav,background,0,1,clean,ch05_clip0040.wav
data\processed\clean\fold1\background\ch05_clip0050.wav,background,0,1,clean,ch05_clip0050.wav
data\processed\clean\fold1\background\ch05_clip0060.wav,background,0,1,clean,ch05_clip0060.wav
